User ID,Name,Email Address,Age,Gender,Membership Start Date,Membership End Date,Subscription Plan,Renewal Status,Engagement Level,Subscription Renewed
3495,Albert Rhodes,josephdaniel@hester.com,38,Female,06-03-2023,08-05-2023,Monthly,Manual,High,Not Renewed
3495,Albert Rhodes,josephdaniel@hester.com,38,Female,08-05-2023,05-02-2025,Annual,Auto-Renew,Medium,Not Renewed
3495,Albert Rhodes,josephdaniel@hester.com,38,Female,05-02-2025,18-02-2025,Quarterly,Auto-Renew,Low,Renewed
3495,Albert Rhodes,josephdaniel@hester.com,38,Female,18-02-2025,11-03-2025,Annual,Manual,High,Renewed
9258,Holly Robinson,julie58@gmail.com,19,Female,18-04-2024,09-11-2024,Annual,Auto-Renew,High,Renewed
9258,Holly Robinson,julie58@gmail.com,19,Female,09-11-2024,12-03-2025,Monthly,Auto-Renew,Medium,Not Renewed
9258,Holly Robinson,julie58@gmail.com,19,Female,12-03-2025,14-03-2025,Annual,Manual,Low,Renewed
9258,Holly Robinson,julie58@gmail.com,19,Female,14-03-2025,16-03-2025,Quarterly,Manual,Medium,Renewed
2857,Maria Carney,hannahmcguire@gmail.com,27,Female,06-09-2022,20-01-2023,Quarterly,Manual,High,Renewed
2857,Maria Carney,hannahmcguire@gmail.com,27,Female,20-01-2023,23-01-2024,Monthly,Auto-Renew,Low,Renewed
4070,David Cooper,fergusonanna@hotmail.com,40,Male,15-02-2025,04-03-2025,Annual,Auto-Renew,Low,Renewed
4070,David Cooper,fergusonanna@hotmail.com,40,Male,04-03-2025,04-03-2025,Annual,Manual,High,Renewed
4070,David Cooper,fergusonanna@hotmail.com,40,Male,04-03-2025,10-03-2025,Monthly,Auto-Renew,Low,Renewed
4070,David Cooper,fergusonanna@hotmail.com,40,Male,10-03-2025,16-03-2025,Monthly,Manual,Medium,Renewed
8022,Emily Gordon,matthew48@horton.com,64,Female,20-11-2023,15-05-2024,Monthly,Manual,High,Renewed
2755,George Dominguez,andrewlopez@gmail.com,43,Male,05-04-2024,04-02-2025,Monthly,Auto-Renew,High,Not Renewed
9641,Amanda West,christopher47@gmail.com,24,Male,14-01-2023,18-11-2023,Annual,Auto-Renew,High,Renewed
